# 形码码表：词	编码	词频。词频由青简词库按词面回填（不是码表自带的权重），出处见 assets/wubi/README.md
擎天柱	agsy	15
廾	agt	1
董事长	agta	5891
功到自然成	agtd	6
廾	agth	1
匡复	agtj	1
葬身	agtm	93
匡衡	agtq	12
莱特	agtr	1998
荆条	agts	29
七律	agtv	56
苹	agu	527
药到病除	agub	48
葬送	agud	65
苹	aguh	527
荚	aguw	422
荆门	aguy	376
萋	agv	10
莖	agva	1
萐	agvh	1
巧妙	agvi	649
葘	agvl	1
葝	agvl	1
萋	agvv	10
七青八黄	agwa	1
董事会	agwf	1764
巧合	agwg	1332
蕐	agwh	1
薾	agwq	1
菁华	agwx	1
葬仪	agwy	65
荑	agx	26
七绝	agxq	62
荑	agxw	26
巧计	agyf	12
匤	agyi	1
匡谬	agyn	1
荆州	agyt	1411
巧言	agyy	31
牙	ah	22612
蘧	aha	46
卧式	ahaa	1
蔖	ahag	1
萛	ahaj	1
蘆	ahal	1
萀	aham	1
藘	ahan	1
蘧	ahap	46
雅苑	ahaq	1
牙医	ahat	1707
雅芳	ahay	1
臣子	ahbb	1
邪祟	ahbm	9
雅观	ahcm	54
牙碜	ahdc	9
牙慧	ahdh	2
繤	ahdi	1
苫布	ahdm	15
薉	ahdt	1
卧龙	ahdx	159
臣服	aheb	290
芷	ahf	1070
苜	ahf	12
卧地	ahfb	1
雅士	ahfg	135
雅皮士	ahfg	9
雅趣	ahfh	13
牙垢	ahfr	1
基督教	ahft	5934
邪教	ahft	397
雅致	ahgc	337
雅静	ahge	44
雅正	ahgh	24
雅丽	ahgm	1
邪恶	ahgo	4148
邪毒	ahgx	1
雅虎	ahha	266
欺上瞒下	ahhg	5
蕋	ahhh	1
煕	ahho	1
蘃	ahhs	1
牙齿	ahhw	6085
牙龈	ahhw	38
匷	ahhy	1
菽	ahi	48
菽	ahic	48
牙尖	ahid	7
邪淫	ahie	1
雅洁	ahif	1
牙婆	ahih	1
蘋	ahim	1
雅淡	ahio	1
荹	ahir	1
茮	ahiu	1
雅兴	ahiw	244
雅量	ahjg	12
苫	ahk	205
赜	ahk	67
苫	ahkf	205
雅号	ahkg	41
邪路	ahkh	16
牙口	ahkk	362
颐	ahkm	825
赜	ahkm	67
賾	ahkm	1
頤	ahkm	1
巸	ahkn	1
熙	ahko	5497
媐	ahkv	1
卧车	ahlg	34
雅思	ahln	1638
蓾	ahlo	1
卧轨	ahlv	79
雅典	ahma	1451
牙雕	ahmf	21
欺上罔下	ahmg	1
卧虎山	ahmm	1
雅迪	ahmp	1
臣	ahn	7008
臣民	ahna	1
孯	ahnb	1
臤	ahnc	1
硻	ahnd	1
腎	ahne	1
堅	ahnf	1
朢	ahng	1
臣	ahnh	7008
卧	ahnh	2023
緊	ahni	1
蜸	ahnj	1
臨	ahnk	1
監	ahnl	1
盬	ahnl	1
鹽	ahnl	1
牙刷	ahnm	1410
賢	ahnm	1
